name1,name2,sub,
大同大學,機械與材料工程學系,國、英、數A、數B、自,
大同大學,化學工程與生物科技學系,*國、英、數A、數B、自,
大同大學,工程學院學士班,國、英、數A、數B、自,
大同大學,電機工程學系,英、數A、*自,
大同大學,資訊工程學系,國、英,
大同大學,事業經營學系,國、英、社,
大同大學,資訊經營學系,國、英、數B,
大同大學,應用外語學系,國、英、社,
大同大學,工業設計學系,國、英、數A、數B,
大同大學,媒體設計學系互動媒體設計組,國、英,
大同大學,媒體設計學系數位遊戲設計組,國、英、數B,
大葉大學,機械與自動化工程學系(車輛科技與綠色能源組),國、英、數A,
大葉大學,機械與自動化工程學系(微機電與精密機械組),國、英、數A,
大葉大學,機械與自動化工程學系(機電整合組),國、英、數A,
大葉大學,"	
電機工程學系",英、自,
大葉大學,資訊工程學系(資訊工程組),國、英,
大葉大學,資訊工程學系(資訊應用組),國、英,
大葉大學,環境工程學系(環保技術組),英、自,
大葉大學,"	
環境工程學系(環境管理組)",英、社,
大葉大學,消防安全學士學位學程(消防產業組),英、自,
大葉大學,消防安全學士學位學程(消防管理組),英、社,
大葉大學,"	
企業管理學系(經營管理組)",國、英、數B,
大葉大學,"	
企業管理學系(數位行銷組)",國、英、數B、社,
大葉大學,"	
資訊管理學系(數位經營組)",國、英,
大葉大學,"	
資訊管理學系(系統管理組)",國、英,
大葉大學,"	
會計資訊學系(會計管理組)",國、英*、社,
大葉大學,會計資訊學系(投資理財組),國、英*、社,
大葉大學,"	
財務金融學系(銀行專業組)",國、英,
大葉大學,財務金融學系(投資管理組),國、英,
大葉大學,財務金融學系(公司財務組) ,國、英、社,
大葉大學,英語學系,國、英,
大葉大學,"	
應用日語學系(商務貿易組)",國、英,
大葉大學,"	
應用日語學系(文化事業組)",英、社,
大葉大學,應用日語學系(企業應用組),國、英,
大葉大學,生物醫學系(生物醫藥組),國*、英,
大葉大學,生物醫學系(檢驗醫學組),國、英,
大葉大學,藥用植物與食品保健學系(中藥保健組),國*、英,
大葉大學,藥用植物與食品保健學系(食品科學組),國、英,
大葉大學,觀光旅遊學系,國、社,
大葉大學,"	
餐旅管理學系",國、社,
大葉大學,休閒事業管理學系,國、社,
大葉大學,烘焙暨飲料調製學士學位學程,國、社,
大葉大學,護理學系,英、自,
大葉大學,視光學系,國、英,
大葉大學,醫學工程學系,國、數A,
大葉大學,醫學工程學系(智慧醫療組,英、數A,
大葉大學,職能治療學系,國、英、自,
大葉大學,工業設計學系,國、英,
大葉大學,"	
傳播藝術學士學位學程",國、社,
大葉大學,造形藝術學系(工藝文創組),國、社,
大葉大學,"	
造形藝術學系(藝術創作組)",國、英,
大葉大學,多媒體數位內容學士學位學程(動畫與影視特效組),國,
大葉大學,"	
多媒體數位內容學士學位學程(遊戲與互動設計組)",社,
大葉大學,多媒體數位內容學士學位學程(動漫美術與模型製作組),國、社,
大葉大學,"	
視覺傳達設計學系(視覺設計組)",國、社,
大葉大學,視覺傳達設計學系(影視動畫組),國,
大葉大學,"	
空間設計學系建築組",國、社,
大葉大學,"	
空間設計學系室內設計組",國、社,
大葉大學,"	
運動健康管理學系",國,
中信金融管理學院,財務金融學系,國、數A、數B,
中信金融管理學院,財經法律學系,國,
中信金融管理學院,企業管理學系,國,
中信金融管理學院,金融管理學院學士班,國,
中信金融管理學院,人工智慧學系,國、數A、數B,
中國文化大學,哲學系,國、英、社,
中國文化大學,中國文學系中國文學組,國、英,
中國文化大學,中國文學系文藝創作組,國、英,
中國文化大學,史學系,國*、英*、社,
中國文化大學,日本語文學系,國、英*、社,
中國文化大學,韓國語文學系,國、英,
中國文化大學,俄國語文學系,國*、英、社*,
中國文化大學,英國語文學系,國*、英、社*,
中國文化大學,法國語文學系,國*、英、社*,
中國文化大學,全球商務學士學位學程,國*、英、數A、數B、社*,
中國文化大學,應用數學系,國、英、數A,
中國文化大學,光電物理學系,國*、英*、數A,
中國文化大學,化學系,國*、英*、數A*、自,
中國文化大學,地理學系,國、英*、社,
中國文化大學,大氣科學系,國*、英*、數A、自*,
中國文化大學,地質學系,國、英,
中國文化大學,生命科學系,國*、英、自,
中國文化大學,法律學系法學組,國、英、社*,
中國文化大學,法律學系財經法律組,國、英、社*,
中國文化大學,法律學系企業金融法制組,國、英、社*,
中國文化大學,政治學系,國、英,
中國文化大學,經濟學系,國、英、數B、社*,
中國文化大學,勞動暨人力資源學系,國、英、社,
中國文化大學,社會福利學系,國、英*、社,
中國文化大學,行政管理學系,國*、英、社,
中國文化大學,園藝暨生物技術學系,國、英、自,
中國文化大學,動物科學系,國、英*、自,
中國文化大學,森林暨自然保育學系,國、英*、自,
中國文化大學,土地資源學系,國、英、數B,
中國文化大學,生活應用科學系,國*、社,
中國文化大學,保健營養學系,國、英、自,
中國文化大學,化學工程與材料工程學系,英、數A、自,
中國文化大學,電機工程學系,國*、英*、數A、自*,
中國文化大學,機械工程學系,國、英、數A,
中國文化大學,紡織工程學系,國*、英、數A*、自,
中國文化大學,資訊工程學系,國*、英、數A*、自*,
中國文化大學,國際貿易學系,國*、英、社*,
中國文化大學,國際企業管理學系,國、英*、社,
中國文化大學,會計學系,國、英*、數B*,
中國文化大學,觀光事業學系,國、英、社,
中國文化大學,資訊管理學系(智慧商務科技組),英、數B、社,
中國文化大學,資訊管理學系(雲端服務暨巨量資料組),英、數B、社*,
中國文化大學,"	
財務金融學系金融行銷組",國、社,
中國文化大學,財務金融學系財務金融組,國、英,
中國文化大學,行銷學士學位學程,國*、社,
中國文化大學,新聞學系,國、英、社,
中國文化大學,廣告學系,國、英、社,
中國文化大學,資訊傳播學系,國、英,
中國文化大學,大眾傳播學系,國、英、社*,
中國文化大學,都市計劃與開發管理學系,國、社,
中國文化大學,建築及都市設計學系,國、英,
中國文化大學,景觀學系,國、英、社*、自*,
中國文化大學,教育學系,國、英、社,
中國文化大學,心理輔導學系,國、英、社,
中國文化大學,戲劇學系,國、英,
中國文化大學,中國戲劇學系,國、社*,
中國文化大學,音樂學系,"國、主修、擊樂
理論作曲",
中國文化大學,美術學系,國、英*、社*、素描、彩繪技法、水墨書畫,
中國文化大學,體育學系,國*、英、社*、自*,
中國文化大學,運動與健康促進學系,國*、英,
天主教輔仁大學,中國文學系,國、英*、社*,
天主教輔仁大學,歷史學系,國、英、社,
天主教輔仁大學,哲學系,國、英、社,
天主教輔仁大學,景觀設計學系,國、英、社,
天主教輔仁大學,影像傳播學系,國、英、社,
天主教輔仁大學,新聞傳播學系,國、英、社、數B*,
天主教輔仁大學,廣告傳播學系,國、英、數B、社*,
天主教輔仁大學,教育領導與科技發展學士學位學程,國、英、數B、社,
天主教輔仁大學,護理學系,國*、英、數A*、自,
天主教輔仁大學,公共衛生學系,國、英、數A、數B,
天主教輔仁大學,醫學系,國、英、數A、自,
天主教輔仁大學,醫學系(公費生),國、英、數A、自,
天主教輔仁大學,臨床心理學系,國、英、數A、自,
天主教輔仁大學,職能治療學系,國、英、數A*、自,
天主教輔仁大學,呼吸治療學系,英、數A*、自,
天主教輔仁大學,數學系資訊數學組,英*、數A、自*,
天主教輔仁大學,數學系應用數學組,英*、數A、自*,
天主教輔仁大學,化學系,英、數A*、自,
天主教輔仁大學,資訊工程學系,國、英、數A,
天主教輔仁大學,生命科學系,英*、自,
天主教輔仁大學,物理學系物理組,英*、數A、自,
天主教輔仁大學,物理學系光電物理組,英*、數A、自,
天主教輔仁大學,電機工程學系,英、數A、自,
天主教輔仁大學,醫學資訊與創新應用學士學位學程,國、英、數A,
天主教輔仁大學,人工智慧與資訊安全學士學位學程,國、英、數A,
天主教輔仁大學,英國語文學系,國、英、社*,
天主教輔仁大學,法國語文學系,國、英、社*,
天主教輔仁大學,西班牙語文學系,國、英、社*,
天主教輔仁大學,日本語文學系,國、英、社,
天主教輔仁大學,義大利語文學系,國、英、社*,
天主教輔仁大學,德語語文學系,國、英,
天主教輔仁大學,織品服裝學系織品設計組,國、英,
天主教輔仁大學,織品服裝學系服飾設計組,國、英,
天主教輔仁大學,織品服裝學系織品服飾行銷組,國、英、數A、數B,
天主教輔仁大學,餐旅管理學系,國、英、數B,
天主教輔仁大學,兒童與家庭學系,國、英、數B,
天主教輔仁大學,食品科學系,國*、英、數A*、自,
天主教輔仁大學,營養科學系,國*、英、數A、數B、自,
天主教輔仁大學,法律學系,國、英、社,
天主教輔仁大學,財經法律學系,國、英、社,
天主教輔仁大學,企業管理學系,英、數B,
天主教輔仁大學,會計學系,國、英、數B,
天主教輔仁大學,資訊管理學系,國、英、數B,
天主教輔仁大學,統計資訊學系,國*、英、數B,
天主教輔仁大學,金融與國際企業學系,國、英、數B,
天主教輔仁大學,社會學系,國、英、社,
天主教輔仁大學,社會工作學系,國、英,
天主教輔仁大學,經濟學系,英、數B、社*,
天主教輔仁大學,宗教學系,國、英*、社*,
天主教輔仁大學,心理學系,國、英、社,
天主教輔仁大學,天主教研修學士學位學程,國,
天主教輔仁大學,音樂學系應用音樂組,國、英,
天主教輔仁大學,音樂學系器樂組,國、英、樂理、聽寫、主修,
天主教輔仁大學,音樂學系爵士音樂組,國、英,
天主教輔仁大學,應用美術學系,國、英、數B*、素描、創意表現,
天主教輔仁大學,體學系體育學組,國、英、數B*、體育,
天主教輔仁大學,體育學系運動健康管理組,國、英、數B*,
世新大學,新聞學系,國、英,
