科系,採計科目(含一階篩選方式、倍率、超篩)
健康產業管理學系健康產業管理組,國、數B、社
健康產業管理學系醫療機構管理組,國、數B、社
食品營養與保健生技學系食品營養組,國、英、自
食品營養與保健生技學系保健化妝品組,國、英
醫學檢驗暨生物技術學系醫事檢驗組,國、英、自
醫學檢驗暨生物技術學系生物技術組,國、英、自
心理學系心理師研修組,英、自
心理學系諮商與臨床心理組,國、英
心理學系工商與社會心理組,英、社
視光學系,國、英
聽力暨語言治療學系,英、自
職能治療學系,國、英、自
物理治療學系,國、英、自
護理學系國際護理組,英、數A、自
護理學系臨床照護組,英、數A、自
護理學系高齡長期照護組,國、*英、數A、自
生物資訊與醫學工程學系生醫資訊組,國、數A、自
生物資訊與醫學工程學系醫學工程組,國、數A、自
資訊工程學系人工智慧組,國、英、數B
資訊工程學系數位內容與遊戲設計組,國、數B
資訊工程學系智慧電子組,英、數B
行動商務與多媒體應用學系多媒體應用組,國、社
行動商務與多媒體應用學系行動商務組,國、社
資訊傳播學系智慧傳播應用組,國、社
資訊傳播學系新媒體傳播內容組,國、社
經營管理學系行銷管理組,國
經營管理學系國際企業管理組,國、英
休閒與遊憩管理學系餐旅事業管理組,國、社
休閒與遊憩管理學系旅遊事業管理組,國、英
會計與資訊學系會計稅務組,*國、社
會計與資訊學系智慧會計組,國、*英
財務金融學系投資理財組,國、英、社
財務金融學系金融科技組,國、英、社
財經法律學系科技法律組,國、社
財經法律學系財經法律組,國、社
外國語文學系語文專業組,國、英
外國語文學系語文應用組,英、社
社會工作學系社工心理雙專業組,國、英
社會工作學系醫務社工與長期照顧雙專業組,國、英、社
幼兒教育學系文教產業組,國、社
幼兒教育學系幼教師資組,國、英、社
數位媒體設計學系,國、英
視覺傳達設計學系,國、英
創意商品設計學系,國、社
時尚設計學系時尚服裝設計組,國、英
時尚設計學系服飾創意設計組,國、社
室內設計學系商業空間組,英、社
室內設計學系住宅空間組,國、英
室內設計學系智慧空間組,社
