科系,採計科目(含一階篩選方式、倍率、超篩)
中國文學系,國、英、社
英美語文學系,國、英、社
法國語文學系,國、英、社
文學院學士班,國、英、數B、社
數學系數學科學組,國、英、數A、自
數學系計算與資料科學組,國、英、數A、自
物理學系,國、英、數A、自
化學學系,國、英、數A、自
光電科學與工程學系,國、英、數A、自
土木工程學系,國、英、數A、自
機械工程學系光機電工程組,國、英、數A、自
機械工程學系先進材料與精密製造組,國、英、數A、自
機械工程學系設計與分析組,國、英、數A、自
化學工程與材料工程學系,數A、自
工學院學士班,英、數A、自
企業管理學系,國、英、數B、社
資訊管理學系,國、英、數A、自
經濟學系,國、英、數B
財務金融學系,國、英、數B、社
電機工程學系,國、英、數A、自
資訊工程學系,國、英、數A、自
通訊工程學系,國、英、數A、自
資訊電機學院學士班,國、英、數A、自
大氣科學學系,國、英、數A、自
太空科學與工程學系,國、英、數A、自
地球科學學系,國、英、數A、自
地球科學學院學士班,國、英、數A、自
客家語文暨社會科學學系客家語文及傳播組,國、英、社
客家語文暨社會科學學系客家社會及政策組,國、英、社
生命科學系,英、數A、自
生醫科學與工程學系,英、數A、自
