科系,採計科目(含一階篩選方式、倍率、超篩)
中國文學系,國、英、社、英聽
外國語文學系,國、英、社、英聽
歷史學系,國、英、社
台灣人文創新學士學位學程,國、英、社
財務金融學系,國、英、社、數B
企業管理學系,國、英、社、數B
資訊管理學系,國、英、數A、自然
會計學系,國、英、社、數B
行銷學系,國、英、社、數B、數A、英聽
應用經濟學系,國、英、數A、英聽
法律學系,國、英、社、數B
化學系,英、數A、自然
物理學系一般物理組,英、數A、自然
物理學系光電物理組,英、數A、自然
應用數學系應用數學組,國、英、數A、自然
應用數學系數據科學與計算組,國、英、數A、自然
機械工程學系,*國、英、數A、自然
土木工程學系,國、英、數A、自然
環境工程學系,國、英、數A、自然
化學工程學系,*國、英、數A、自然
材料科學與工程學系,*國、英、數A、自然
智慧創意工程學士學位學程,英、數A、自然
電機工程學系,*英、數A、自然
資訊工程學系,國、英、數A、*自然
電機資訊學院學士班,英、數A、自然
生物產業機電工程學系,英、數A、自然
水土保持學系,國、英、數A、自然
食品暨應用生物科技學系,國、英、數A、自然
農藝學系,國、英、數B、自然、英聽
園藝學系,國、英、數B、自然、英聽
森林學系林學組,國、英、數B、自然
森林學系木材科學組,國、英、數B、自然
植物病理學系,國、英、數A、自然
昆蟲學系,國、英、數A、自然
動物科學系,國、英、數A、自然、英聽
土壤環境科學系,英、數A、自然
生物科技學士學位學程,國、英、數A、自然
景觀與遊憩學士學位學程,國、英、數A
國際農企業學士學位學程,國、英、數A、自然、英聽
生命科學系,英、數A、自然
獸醫學系,國、英、數A、自然、英聽
