科系,採計科目(含一階篩選方式、倍率、超篩)
輔導與諮商學系學校輔導與諮商組,國、英、數B、社
輔導與諮商學系社區輔導與諮商組,國、英、數B、社
特殊教育學系,國、英、數B、社、英聽
數學系,國、英、數B、社、英聽
物理學系物理組,國*、英*、數A、自
物理學系光電組,國*、英*、數A、自
生物學系,國、英、自
化學系,國*、英、數A、自
英語學系,國、英、社
國文學系,國、英、社
地理學系,數B、英、社
機電工程學系,國、英、數A、自
電機工程學系,國、英、數A、自
電子工程學系,國、英、數A、自
資訊工程學系,國、英、數A、自
企業管理學系,國、英、數A、英聽
會計學系,國、英、數B、英聽
資訊管理學系資訊管理組,國、英、數B
"	
資訊管理學系數位內容科技與管理組",國、英、數A
公共事務與公民教育學系公民教育組,國、英、數B、社
"	
公共事務與公民教育學系公共事務組",國、英、數B、社
輔導與諮商學系學校輔導與諮商組(公費生),國、英、數B、社
特殊教育學系(公費生),國、英、數B、社、英聽
國文學系(公費生),國、英、數B、社、英聽
美術學系,國、英、社、素描、彩繪技法、創意表現
"	
運動學系競技運動組",國、英、社、自
"	
運動學系運動健康組",國、英、社、自
