科系,採計科目(含一階篩選方式、倍率、超篩),
中國文學系,,國、英、社
外國語文學系,,國、英、社、英聽
歷史學系,,國、英、社
台灣文學系,,國、英、社、數B
數學系,,國、英、數A、自
物理學系,,國、英、數A、自
化學系,,英、數A、自
地球科學系,,國、英、數A、自
光電科學與工程學系,,國、英、數A、自
機械工程學系,,國、英、數A、自
機械工程學系(普渡雙聯組),,國、英、數A、自、英聽
化學工程學系,,國、英、數A、自
材料科學及工程學系,,國*、英、數A、自
資源工程學系,,國、英、數A、自
土木工程學系,,國、英、數A、自
水利及海洋工程學系,,國、英、數A、自
工程科學系,,國、英、數A、自
系統及船舶機電工程學系,,國、英、數A、自
航空太空工程學系,,國、英、數A、自
能源工程國際學士學位學程,,國、英、數A、自
環境工程學系,,國、英、數A、自
測量及空間資訊學系,,國、英、數A、自
生物醫學工程學系,,國*、英、數A、自
工業與資訊管理學系,,國、英、數A
交通管理科學系,,國、英、數A、自
統計學系,,國、英、數A
會計學系,,國、英、數B、社
企業管理學系,,國、英、數B
醫學系,,國、英、數A、自
醫學系(公費生),,國、英、數A、自
牙醫學系,,國、英、數A、自
醫學檢驗生物技術學系,,國、英、數A、自
護理學系,,國、英、數A*、自
物理治療學系,,國、英、數A、自
職能治療學系,,國、英、數A、自
藥學系,,國、英、數A、自
政治學系,,國、英、數B、數A、社
經濟學系,,國、英、數A
法律學系,,國、英、數B、社
心理學系,,英、數A、社*、自
電機工程學系,,英、數A、自
電機工程學系(普渡雙聯組),,英、數A、自、英聽
資訊工程學系,,英、數A、自
資訊工程學系(普渡雙聯組),,英、數A、自、英聽
建築學系,,國、英、數A、自
都市計劃學系,,國、英、數A
工業設計學系,,國、英、數A、自
生命科學系,,國、英、數A、自
生物科技與產業科學系,,國、英、自
全校不分系學士學位學程,,國、英、數A
