科系,採計科目(含一階篩選方式、倍率、超篩)
應用數學系數學科學組,*國、*英、數A
應用數學系統計科學組,*國、*英、數A
物理學系物理組,國、英、數A、自
物理學系奈米與光電科學組,國、英、數A、自
化學系,國、英、數A、自
生命科學系,*國、英、數A、自
資訊工程學系資工組,英、數A
資訊工程學系國際組,英、數A
電機工程學系,英、數A、自
材料科學與工程學系,國、英、數A、自
光電工程學系,國、英、數A、自
企業管理學系,*國、英、數B
會計學系,*國、英、數B
資訊管理學系人工智慧與大數據組,國、英、數A
資訊管理學系智慧商務與知識管理組,國、英、數B
國際企業學系,國、英、數B
財務金融學系,國、英、數B
觀光暨休閒遊憩學系,國、英、*數B、社
管理學院管理科學與財金國際學士學位學程,國、英、數B
華文文學系,國、*英、*社
中國語文學系,國、*英、社
英美語文學系,國、英、*社
臺灣文化學系,*國、*英、社
歷史學系,國、英、社
經濟學系,英、數B
諮商與臨床心理學系,英、數B
社會學系,國、*英、社
公共行政學系,國、英、社
法律學系,國、英、社
教育與潛能開發學系,國、英、數B、*社
教育行政與管理學系,國、社
特殊教育學系,國、英
幼兒教育學系,國、英、社
族群關係與文化學系,國、英、社
民族語言與傳播學系,國、社
自然資源與環境學系,英、自
縱谷跨域書院學士學位學程,國、英、數B
音樂學系甲組,*國、*英、主修、樂理
音樂學系乙組,國、*英、實作
藝術與設計學系,國、社、素描、創意表現
藝術創意產業學系,國、*英
體育與運動科學系,國、英、數B、體育
