科系,採計科目(含一階篩選方式、倍率、超篩)
教育學系,國、英、數B、
教育經營與管理學系,國、英、數B、
幼兒與家庭教育學系,國、英、數B、社
特殊教育學系,國、英、數B、社
心理與諮商學系,國、英、數B
社會與區域發展學系,國、英、數B、社
兒童英語教育學系,國、英、數B
兒童與英語教育學系(公費生),國、英、數B
語文與創作學系語文師資組,國、英、數B、社
語文與創作學系文學創作組,國、英、社
文化創意產業經營學系,國、英、數A、數B、社
藝術與造型設計學系設計組,國、英、數B
數學暨資訊教育學系數學組,國、英、數A
數學暨資訊教育學系數學組(公費生),國、英、數A、英聽
數學暨資訊教育學系人工智慧與資訊教育組,國、英、數A
數學暨資訊教育學系人工智慧與資訊教育組(公費生甲組),國、英、數A
數學暨資訊教育學系人工智慧與資訊教育組(公費生乙組),國、英、數A
"	
自然科學教育學系",國、英、數A、自、英聽
自然科學教育學系(公費生甲組),國、英、數A、自、英聽
自然科學教育學系(公費生乙組),國、英、數A、自、英聽
自然科學教育學系(公費生丙組),國、英、數A、自、英聽
資訊科學系,國、英、數A、自
數位科技設計學系,國、英、數B
音樂學系,國、英、主修、副修、樂理、聽寫
音樂學系(公費生甲組),國、英、主修、副修、樂理、聽寫
音樂學系(公費生乙組),國、英、主修、副修、樂理、聽寫
"	
藝術與造形設計學系藝術組",國、英、數B、社、素描、彩繪技法、創意表現
"	
體育學系",國、英、數B、體育
體育學系(雙語教學組),國、英、數B
