科系,採計科目(含一階篩選方式、倍率、超篩)
中國文學系,國、英、數B、社
外國語文學系,國、英、數A、數B 、社 、英聽
歷史學系,國、英、數B、社
哲學系,國、英、數A、數B
人類學系,國、英、社、數B
圖書資訊學系,國、英、數A、數B、社
日本語文學系,國、英、數B、社
戲劇學系,國、英、數B、社
數學系,英、數A、自
物理學系,國、英、數A、自
化學系,國、英、數A、自
地質科學系,國、英、數A、自
心理學系,國、英、數A、自
地理環境資源學系,英、數A、社
大氣科學系,國、英、數A、自
政治學系政治理論組,國、英、數A、社
政治學系國際關係組,國、英、數A、社
政治學系公共行政組,國、英、數A、社
經濟學系A組,英、數A、社、自
經濟學系B組,英、數A、自
經濟學系C組,英、數A、社
社會學系,國、英、數B、社
社會工作學系,國、英、數B、社
醫學系,國、英、數A、自
醫學系(公費生),國、英、數A、自
牙醫學系,國、英、數A、自
藥學系,國、英、數A、自
醫學檢驗暨生物技術學系,國、英、數A、自
護理學系,國、英、數A、自
物理治療學系,國、英、數A、自
職能治療學系,國、英、數A、自
醫學檢驗暨生物技術學系,國、英、數A、自
護理學系,國、英、數A、自
土木工程學系,國、英、數A、自
機械工程學系,國、英、數A、自
化學工程學系,國、英、數A、自
工程科學及海洋工程學系,英、數A、自
材料科學與工程學系,國、英、數A、自
醫學工程學系,國、英、數A、自
農藝學系,國、英、數A、自
生物環境系統工程學系,國、英、數A、自
農業化學系,國、英、數A、自
森林環境暨資源學系,國、英、數A、自
動物科學技術學系,國、英、數A、自
農業經濟學系,國、英、數A
園藝暨景觀學系,國、英、數A、自
獸醫學系,國、英、數A、自
生物產業傳播暨發展學系,國、英、數B、社
生物機電工程學系,國、英、數A、自
昆蟲學系,國、英、數A、自
植物病理與微生物學系,國、英、數A、自
工商管理學系企業管理組,國、英、數A、社
工商管理學系科技管理組,國、英、數A、自
會計學系,國、英、數A、
財務金融學系,國、英、數A、
國際企業學系,國、英、數A、社
資訊管理學系,國、英、數A、自
公共衛生學系,英、數A、自
電機工程學系,英、數A、自
資訊工程學系,英、數A、自
法律學系法學組,國、英、數B、社
法律學系司法組,國、英、數B、社
法律學系財經法學組,國、英、數B、社
生命科學系,國、英、數A、自
生化科技學系,國、英、數A、自
國際體育運動事務學士學位學程,國、英、數B
