"科系	",採計科目(含一階篩選方式、倍率、超篩)
"教育學系	",國、英、數B、社
教育心理與輔導學系,國、英、數B、社
"社會教育學系	",國、英、數B、社
"健康促進與衛生教育學系	",國、英
"人類發展與家庭學系家庭生活教育組	",國、英、*數B、*社
"人類發展與家庭學系幼兒發展與教育組	",國、英、*數B、*社
公民教育與活動領導學系,國、英、數B、社
"特殊教育學系	",國、英
"學習科學學士學位學程	",國、英、數B
"教育學院學士班	",國、英、數B、社
"國文學系	",國、英、社
"英語學系	",國、英、*數B、*社、英聽
"歷史學系	",國、英、社
"地理學系	",國、英、數B、社、英聽
"台灣語文學系	",國、英、社
"數學系	",英、數A、自
"物理學系	",*數、自
"化學系	",英、數A、自
"生命科學系	",國、英、數A、*自
"地球科學系	",*英、數A、自
"資訊工程學系	",國、英、數A、自
"營養科學學士學位學程	",*國、英、*數A、自
"科技應用與人力資源發展學系	",英、數B、自
"圖文傳播學系	",國、英、數A
"機電工程學系	",國、英、數A、自
"電機工程學系	",國、英、數A、自
"光電工程學士學位學程	",國、英、數A、自
"華語文教學系應用華語文學組	",國、英
"東亞學系	",國、英'、數B、社
"企業管理學系	",國、英'、數B
"設計學系產品設計組	",國、英、數A、自
"音樂學系	",國、英、主修
"表演藝術學士學位學程	",國、英
"設計學系視覺設計組	",國、英、數A、*社、素描、彩繪技法、創意表現
"美術學系繪畫組	",*國、*英、*社、彩繪技法、素描
"美術學系水墨畫組	",*國、*英、*社、彩繪技法、素描、水墨書畫
"體育與運動科學系	",國、英'、社、自、體育百分等級
