科系,採計科目(含一階篩選方式、倍率、超篩)
圖文傳播藝術學系,國、英、社、自
廣播電視學系,國、英、社
電影學系,國、英
戲劇學系,國、英、社、英聽
音樂學系,國、英、主修、樂理、視唱、聽寫
中國音樂學系作曲組,*國、*英、副修、樂理、視唱、聽寫
中國音樂學系聲樂組,*國、*英、副修、樂理、視唱、聽寫
中國音樂學系管樂組,*國、*英、副修、樂理、視唱、聽寫
中國音樂學系彈弦組,*國、*英、副修、樂理、視唱、聽寫
中國音樂學系撥弦組,*國、*英、副修、樂理、視唱、聽寫
中國音樂學系擦弦組(一)-胡琴,*國、*英、副修、樂理、視唱、聽寫
中國音樂學系擦弦組(二)-低音擦弦,*國、*英、副修、樂理、視唱、聽寫
中國音樂學系擊樂組,*國、*英、副修、樂理、視唱、聽寫
美術學系,國、英、素描、彩繪技法、創意表現、水墨書畫、美術鑑賞
書畫藝術學系,國、英、社、素描、彩繪技法、水墨書畫
雕塑學系,*國、*英、*社、素描、彩繪技法、美術鑑賞
古蹟藝術修護學系,國、英、社、素描、彩繪技法、水墨書畫
亞太建築空間與文物保存學士學位學程,國、英、素描、彩繪技法
視覺傳達設計學系,國、英、英聽、素描、彩繪技法、創意表現、美術鑑賞
工藝設計學系,國、英、社、英聽、素描、創意表現、美術鑑賞
多媒體動畫藝術學系,國、英、數B、素描、創意表現
舞蹈學系,國、英
