科系,採計科目(含一階篩選方式、倍率、超篩)
電機工程學系(甲組),英、數A、自
電機工程學系(乙組),國、英、數A、自
光電工程學系,英、數A、自
資訊工程學系(甲組),國、英、數A、自
資訊工程學系(乙組),國、英、數A、自
奈米科學及工程學士學位學程甲組(主修半導體),英、數A、自
奈米科學及工程學士學位學程乙組(主修奈米),英、數A、自
材料科學與工程學系,國、英、自
機械工程學系,國、英、數A、自
土木工程學系(甲組),國、英、數A、自
土木工程學系(乙組),國、英、數A、自、英聽
理學院科學學士學位學程(甲組),國、英、數A、自
理學院科學學士學位學程(乙組),國、英、數A、自
理學院科學學士學位學程(丙組),國、英、數A、自
電子物理學系光電與奈米科學組,國、英、數A、自
電子物理學系電子物理組,國、英、數A、自
應用化學系,國、英、數A、自
應用數學系,英、數A、自
生物科技學系(甲組),英、數A、自
生物科技學系(乙組),國、英、數A、自
資訊管理與財務金融學系資訊管理組,英、數A、自
資訊管理與財務金融學系財務金融組,國、英、數A
管理科學系,國、英、數A
運輸與物流管理學系,國、英、數A、自
工業工程與管理學系,國、英、數A、自
外國語文學系,國、英、數B、社
傳播與科技學系,國、英、數B、社
人文社會學系,國、英、社
醫學系醫師組,國、英、數A、自
醫學系醫師科學家組,國、英、數A、自
醫學系醫師工程師組,國、英、數A、自
牙醫學系,國、英、數A、自、英聽
醫學生物技術暨檢驗學系,英、數A、自、英聽
生物醫學影像暨放射科學系,*國、英、數A、自
護理學系,國、英、數A、自
物理治療暨輔助科技學系,國、英、數A、自
生命科學系暨基因體科學研究所(生物醫學科學組),英、數A、自
生命科學系暨基因體科學研究所(生醫光電與資訊組),英、數A、自
生物醫學工程學系,國、英、數A、自
藥學系,國、英、數A、自、英聽
學士班大一大二不分系,英、數A、自
