"科系	採計科目(含一階篩選方式、倍率、超篩)",
機械與自動化工程學系(車輛科技與綠色能源組),國、英、數A
機械與自動化工程學系(微機電與精密機械組),國、英、數A
機械與自動化工程學系(機電整合組),國、英、數A
"	
電機工程學系",英、自
資訊工程學系(資訊工程組),國、英
資訊工程學系(資訊應用組),國、英
環境工程學系(環保技術組),英、自
"	
環境工程學系(環境管理組)",英、社
消防安全學士學位學程(消防產業組),英、自
消防安全學士學位學程(消防管理組),英、社
"	
企業管理學系(經營管理組)",國、英、數B
"	
企業管理學系(數位行銷組)",國、英、數B、社
"	
資訊管理學系(數位經營組)",國、英
"	
資訊管理學系(系統管理組)",國、英
"	
會計資訊學系(會計管理組)",國、英*、社
會計資訊學系(投資理財組),國、英*、社
"	
財務金融學系(銀行專業組)",國、英
財務金融學系(投資管理組),國、英
財務金融學系(公司財務組) ,國、英、社
英語學系,國、英
"	
應用日語學系(商務貿易組)",國、英
"	
應用日語學系(文化事業組)",英、社
應用日語學系(企業應用組),國、英
生物醫學系(生物醫藥組),國*、英
生物醫學系(檢驗醫學組),國、英
藥用植物與食品保健學系(中藥保健組),國*、英
藥用植物與食品保健學系(食品科學組),國、英
觀光旅遊學系,國、社
"	
餐旅管理學系",國、社
休閒事業管理學系,國、社
烘焙暨飲料調製學士學位學程,國、社
護理學系,英、自
視光學系,國、英
醫學工程學系,國、數A
醫學工程學系(智慧醫療組,英、數A
職能治療學系,國、英、自
工業設計學系,國、英
"	
傳播藝術學士學位學程",國、社
造形藝術學系(工藝文創組),國、社
"	
造形藝術學系(藝術創作組)",國、英
多媒體數位內容學士學位學程(動畫與影視特效組),國
"	
多媒體數位內容學士學位學程(遊戲與互動設計組)",社
多媒體數位內容學士學位學程(動漫美術與模型製作組),國、社
"	
視覺傳達設計學系(視覺設計組)",國、社
視覺傳達設計學系(影視動畫組),國
"	
空間設計學系建築組",國、社
"	
空間設計學系室內設計組",國、社
"	
運動健康管理學系",國
