科系,採計科目(含一階篩選方式、倍率、超篩)
中國文學系,國、英*、社*
歷史學系,國、英、社
哲學系,國、英、社
景觀設計學系,國、英、社
影像傳播學系,國、英、社
新聞傳播學系,國、英、社、數B*
廣告傳播學系,國、英、數B、社*
教育領導與科技發展學士學位學程,國、英、數B、社
護理學系,國*、英、數A*、自
公共衛生學系,國、英、數A、數B
醫學系,國、英、數A、自
醫學系(公費生),國、英、數A、自
臨床心理學系,國、英、數A、自
職能治療學系,國、英、數A*、自
呼吸治療學系,英、數A*、自
數學系資訊數學組,英*、數A、自*
數學系應用數學組,英*、數A、自*
化學系,英、數A*、自
資訊工程學系,國、英、數A
生命科學系,英*、自
物理學系物理組,英*、數A、自
物理學系光電物理組,英*、數A、自
電機工程學系,英、數A、自
醫學資訊與創新應用學士學位學程,國、英、數A
人工智慧與資訊安全學士學位學程,國、英、數A
英國語文學系,國、英、社*
法國語文學系,國、英、社*
西班牙語文學系,國、英、社*
日本語文學系,國、英、社
義大利語文學系,國、英、社*
德語語文學系,國、英
織品服裝學系織品設計組,國、英
織品服裝學系服飾設計組,國、英
織品服裝學系織品服飾行銷組,國、英、數A、數B
餐旅管理學系,國、英、數B
兒童與家庭學系,國、英、數B
食品科學系,國*、英、數A*、自
營養科學系,國*、英、數A、數B、自
法律學系,國、英、社
財經法律學系,國、英、社
企業管理學系,英、數B
會計學系,國、英、數B
資訊管理學系,國、英、數B
統計資訊學系,國*、英、數B
金融與國際企業學系,國、英、數B
社會學系,國、英、社
社會工作學系,國、英
經濟學系,英、數B、社*
宗教學系,國、英*、社*
心理學系,國、英、社
天主教研修學士學位學程,國
音樂學系應用音樂組,國、英
音樂學系器樂組,國、英、樂理、聽寫、主修
音樂學系爵士音樂組,國、英
應用美術學系,國、英、數B*、素描、創意表現
體學系體育學組,國、英、數B*、體育
體育學系運動健康管理組,國、英、數B*
