科系,採計科目(含一階篩選方式、倍率、超篩)
中國文學系,國、社
外國語文學系,*國、英
歷史學系,*國、*英、社
日本語言文化學系,國、英、*社
哲學系,國、英、社
應用物理學系,國、英、數A
化學系化學組,英、自
化學系化學生物組,英、自
生命科學系生物醫學組,*國、英、自
生命科學系生態暨生物多樣性組,*國、英、自
應用數學系,國、英、數A
化學工程與材料工程學系(製程及能源工程組),英、數A、*自
化學工程與材料工程學系(材料工程組),*英、數A、自
化學工程與材料工程學系(生化工程組),英、數A、自
工業工程與經營資訊學系(智慧設計與生產),*國、英、數A
工業工程與經營資訊學系(智慧經營與管理),*國、英、數A
環境科學與工程學系,*國、英、數A、自
資訊工程學系(資電工程組),英、數A、自
資訊工程學系(軟體工程組),英、數A、自
資訊工程學系(人工智慧組),英、數A、自
電機工程學系,國、英、數A、自
企業管理學系,國、英、數B
國際經營與貿易學系,國、英、數B
會計學系,國、英、數B
財務金融學系,英、數B
統計學系(巨量資料管理組),國、*英、數A
統計學系(決策管理組),國、*英、數B
資訊管理學系(物聯網與大數據應用組),英、數B
資訊管理學系(數位行銷與電子商務應用組),*國、英、數B
經濟學系一般經濟組,*國、英、數A
經濟學系產業經濟組,*國、英、數A
政治學系政治理論組,*國、英、社
政治學系國際關係組,*國、英、社
行政管理暨政策學系,國、社
社會學系,國、英、社
社會工作學系,國、英、社
畜產與生物科技學系,國、英、自
食品科學系,英、數A、數B、自
餐旅管理學系,國、英
高齡健康與運動科學學士學位學程,國、英
建築學系,國、英、數A、數B、*自
工業設計學系(A組),國、英、自
工業設計學系(B組),國、英、社
景觀學系,國、英
法律學系,國、英、數A、數B、*社
法律學系,國、英、數A、數B、*社
國際學院國際經營管理學位學程,英、*社
永續科學與管理學士學位學程,英、*自
音樂學系,國、英、主修、*樂理
美術學系,"國、*英、*社、素描、彩繪技法、創意表現
"
