科系,採計科目(含一階篩選方式、倍率、超篩)
中國文學學系,國、社
歷史學系,國、社
資訊與圖書館學系,國、英
大眾傳播學系,國、英
資訊傳播學系,國、英、數B、社*
教育科技學系,國、英、社
教育與未來設計學系,國、英
英文學系,英
英文學系全英文學士班,英
法國語文學系,國、英
西班牙語文學系,國、英、社*
日本語文學系,國、英、社
俄國語文學系,國、英
財務金融學系,國、英、數B、社*
財務金融學系全球財務管理全英語學士班,國、英、數B
產業機暨學系,國、英、數B
國際企業學系經貿管理組,國、英、數B
國際企業學系國際商學全英語組,國、英、數B
風險管理與保險學系,國、英、數B、社*
經濟學系,國、英、數B、社*
會計學系,國、英、數B、社*
企業管理學系,國、英、數B、社*
統計學系,國、英、數B
資訊管理學系,國、英、數B
運輸管理學系,國、英、數B、社*
公共行政學系,國、英、社*
管理科學學系(大數據資料分析應用組),國、英、數B、社*
管理科學學系(企業經營與行銷流通組),國、英、數B、社*
外交與國際關係學系全英語學士班,國、英、社
國際觀光管理學系全英語學士班(海外實習組),英
國際觀光管理學系全英與學士班(全球跨域組),英、社
全球政治經濟學系全英語學士班,國、英、社*
理學院尖端材料科學學士學位學程,英、數A、自
數學學系數學組,英*、數A、自*
數學學系資料科學與數理統計組,英*、數A、自*
化學學系化學與生物化學組,英*、數A*、自
化學學系材料化學組,英*、數A*、自
物理學系光電物理組,英、數A、自
物理學系應用物理組,英、數A、自
建築學系,國、英、數B、數A
土木工程學系,國*、英*、數A、自
資訊工程學系,英*、數A、自*
資訊工程學系全英語學士班,英、數B
機械與機電工程學系光電機整合組,國、英、數A、數B、自*
機械與機電工程學系精密機械組,國、英、數A、數B、自*
人工智慧學系,國、英、數A、數B、自
電機工程學系電機資訊組,國、英、數A、數B、自
電機工程學系電機通訊組,國、英、數A、數B、自
電機工程學系電機與系統組,國、英、數A、數B、自
化學工程與材料工程學系,英、數A、自
航空太空工程學系,英、數A、自
水資源及環境工程學系水資源工程組,國、數A、自
水資源及環境工程學系環境工程組,國、數A、自
德國語文學系,國、英、社
