科系,採計科目(含一階篩選方式、倍率、超篩)
人文與資訊學系一般組,*國、社
人文與資訊學系文化行銷組,國、社
人文與資訊學系數位應用組,國、*社
宗教文化與資訊管理學系,國
宗教文化與資訊管理學系藝術與生死組,國、社
宗教文化與資訊管理學系文創與數位組,國、社
英美語文學系,*國、英
應用日語學系,國、英、社
台灣文學系一般組,國、*社
台灣文學系語文傳播組,*國、社
統計資訊與精算學系一般組,國、*英、數A、數B
統計資訊與精算學系商業應用組,*國、數B
資訊工程學系,國、英、*數B
資訊工程學系科技應用組,*國、英、*數B
資訊工程學系人工智慧應用組,國、*英、數B
資訊工程學系多媒體與遊戲設計組,國、*英、*數B
資訊工程學系大數據應用組,*國、*英、數B
法律學系,國、*社
會計資訊學系,國、*英、社
財務金融學系,國、英、社
國際企業與貿易學系,國、英、社
理財與稅務規劃學系,社
經濟學系,*國、*英、社
工業管理與經營資訊學系,國、*英
企業管理學系,*國、*英、社
資訊管理學系資管應用組,國、英、社
資訊管理學系電商行銷組,國、英、社
資訊管理學系智慧商務組,國、英、社
運動管理學系,國、*英、*社
運動資訊傳播學系,國、*英、*社
觀光事業學系旅運管理組,國、*英、*社
觀光事業學系餐旅管理組,國、社
觀光事業學系休閒遊憩組,*國、社、自
觀光事業學系觀光外語組,國、英、*社
觀光數位知識學系資訊應用組,國、*英、社
觀光數位知識學系觀光旅遊組,國、社
觀光數位知識學系旅館餐飲組,國、*英、*社
觀光數位知識學系旅遊運輸組,*國、*英、社
航空事業學系,國、英、社
音樂應用學系-行政管理組,國、*英、*社
音樂應用學系-演奏教學A組,國、英、主修、樂理、視唱
音樂應用學系-演奏教學B組,國、*英、*社
