科系,採計科目(含一階篩選方式、倍率、超篩)
企業管理學系品牌行銷組（臺北校區）,國、英、社
企業管理學系企業管理組（臺北校區）,國、英、數B、社
企業管理學系數位經營組（臺北校區）,國、數B、社
會計學系會計審計組（臺北校區）,國、英、數B、社
會計學系稅務規劃組（臺北校區）,國、英、社
財務金融學系國際金融管理組（臺北校區）,國、英、數B
財務金融學系財務金融組（臺北校區）,國、英、數B
風險管理與保險學系保險金融與行銷組（臺北校區）,國、社
風險管理與保險學系風險管理組（臺北校區）,國、數B、社
國際企業學系跨境電商經營組（臺北校區）,國、英、數B、社
國際企業學系外貿行銷管理組（臺北校區）,國、英、數B、社
新媒體暨傳播管理學系（臺北校區）,國、英、數B
廣播電視學系（臺北校區）,國、社
廣告暨策略行銷學系（臺北校區）,國、英、社
新聞學系（臺北校區）,國、英
法律學系（臺北校區）,國、英、社
財金法律學系（臺北校區）,國、英、社
國際企業與貿易學士學位學程（全英語授課．臺北校區）,英、數B、社
新聞與大眾傳播學士學位學程（全英語授課．臺北校區）,國、英、社
時尚與創新管理學士學位學程（全英語授課．臺北校區）,英
國際事務與外交學士學位學程（全英語授課．桃園校區）,國、英、社
資訊科技應用與管理學士學位學程（全英語授課．桃園校區）,國、英
應用中國文學系文教組（桃園校區）,國、社
應用中國文學系文創組（桃園校區）,國、社
應用英語學系英語教學與雙語教育組（桃園校區）,國、英、社
應用英語學系英語商務組（桃園校區）,國、英、社
應用日語學系（桃園校區）,國、英、社
華語文教學學系應用語言組（桃園校區）,國、英、社
華語文教學學系雙語教學組（桃園校區）,國、英、社
商業設計學系（桃園校區）,英、社
商品設計學系（桃園校區）,國、英、社
數位媒體設計學系（桃園校區）,國、英、社
建築學系（桃園校區）,國、英、社
都市規劃與防災學系（桃園校區）,國、英、社
動漫文創設計學士學位學程（桃園校區）,國、英、社
觀光事業學系（桃園校區）,國、英、社
休閒遊憩管理學系（桃園校區）,國、英、社
餐旅管理學系（桃園校區）,國、英、社
犯罪防治學系（桃園校區）,國、英、社
公共事務與行政管理學系（桃園校區）,國、英、社
諮商與工商心理學系（桃園校區）,國、英、數B、社
應用統計與資料科學學系應用統計組（桃園校區）,國、數B
應用統計與資料科學學系大數據管理組（桃園校區）,國、社
經濟與金融學系金融理財組（桃園校區）,國、英、社
經濟與金融學系產業經濟組（桃園校區）,國、英、社
金融科技應用學士學位學程（桃園校區）,國、社
資訊管理學系雲端技術管理組（桃園校區）,國、英
資訊管理學系巨量資料管理組（桃園校區）,國、數B
資訊管理學系電子商務管理組（桃園校區）,國、社
資訊傳播工程學系互動媒體科技組（桃園校區）,國、英
資訊傳播工程學系人工智慧應用組（桃園校區）,國、英
資訊傳播工程學系（APCS組．桃園校區）,國、數B、APCS
電子工程學系半導體光電組（桃園校區）,國、數A
電子工程學系計算機應用組（桃園校區）,國、英、數A、數B
電腦與通訊工程學系（桃園校區）,國、英、數B
電腦與通訊工程學系（APCS組．桃園校區）,國、數B、APCS
醫療資訊與管理學系健康產業管理組（桃園校區）,英、社
醫療資訊與管理學系醫療資訊組（桃園校區）,國、社
生物科技學系生物醫學組（桃園校區）,國、英、自
生物科技學系食品生技組（桃園校區）,國、英、自
生物醫學工程學系專利醫材組（桃園校區）,國、英
生物醫學工程學系智慧醫療組（桃園校區）,國、自
