科系,採計科目(含一階篩選方式、倍率、超篩)
電機工程學系,數A
資訊工程學系資訊工程組,數A
資訊工程學系智慧軟體設計組,數A
資訊工程學系資訊應用組,數B
資訊工程學系人工智慧組,數A
機械工程學系智慧自動化組,數A
機械工程學系智慧機械組,數A
機械工程學系航空技術組,數A
光電與材料工程學系（人工智慧應用組）,社
光電與材料工程學系（生醫光電組）,國、自
光電與材料工程學系（材料應用組）,自
工業管理學系（甲組）,國、英、自
工業管理學系（乙組）,國、英、社
資訊管理學系（資訊系統設計組）,英
資訊管理學系（資訊管理應用組）,國
資訊管理學系（智慧商務組）,社
企業管理學系企業管理組,社
企業管理學系智慧運輸與物流組,社
財務管理學系財務金融管理組,英、數B、社
財務管理學系金融資訊管理組,國、數B、社
財務管理學系會計資訊與稅務組,國、英、數B
建築與都市計畫學系（第一類組）,國
建築與都市計畫學系（第二類組）,數A、數B、自
景觀建築學系景觀設計組,國
景觀建築學系產品設計組,國
土木工程學系,數A
行政管理學系,社
應用日語學系（商務觀光組）,社
應用日語學系（語文翻譯組）,國
餐旅管理學系,國
觀光與會展活動學系會展與活動管理組,國
觀光與會展活動學系旅遊與休閒管理組,國
英國西英格蘭大學企業管理雙學士學位學程,英、數B
國際觀光與酒店管理雙學士學位學程,英、英聽
中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程,英
