科系,採計科目(含一階篩選方式、倍率、超篩)
財務金融學系,國、數B
企業管理學系經營管理組,國、社
企業管理學系行銷與創業組,國、社
文化創意事業管理學系,國、社
旅遊管理學系,國
管理學院國際企業學士學位學程,國、英
生死學系社會工作組,國、社
生死學系殯葬服務組,國、社
生死學系諮商組,國、社
幼兒教育學系,國
文學系,國
外國語文學系,國、英
應用社會學系社會學組,國、社
應用社會學系社會工作組,國、社
傳播學系廣告公關新聞組,社
傳播學系數位影音製作組,國
傳播學系影劇表演藝術組,國、社
國際事務與企業學系,社
國際事務與企業學系外交與國際事務組,國、社
國際事務與企業學系公共事務與管理組,國
視覺藝術與設計學系繪畫文創組,國
視覺藝術與設計學系數位設計組,社
民族音樂學系展演創作組,國
民族音樂學系藝術管理組,社
建築與景觀學系社會組,國、社
建築與景觀學系自然組,國、自
產品與室內設計學系,國
資訊工程學系社會組,國、數A、數B、社
資訊工程學系自然組,國、數A、數B、自
資訊工程學系人工智慧組,國、英、數A、數B、自
資訊工程學系生醫資電組,數A、數B、自
自然生物科技學系,自
自然生物科技學系生技療癒組,社
自然生物科技學系產品研發組,國
資訊管理學系,國、社
