科系,採計科目(含一階篩選方式、倍率、超篩)
企業管理學系行銷組,國、英、社
企業管理學系數位經營組,國、英、社
企業管理學系產學合作組,國、英、社
企業管理學系創新應用組,國、英、社
國際企業學系跨境行銷組,國、英
國際企業學系貿易物流組,國
國際企業學系商務管理組,國、社
會計資訊學系會計應用組,國、數B、社
會計資訊學系稅務應用組,國、社
航運管理學系,國、英、數B、社
土地管理與開發學系土地管理組,國、社
土地管理與開發學系開發規劃組,國、社
財務金融學系金融科技組,國、英、數B
財務金融學系投資資訊組,國、英、數B、社
財務金融學系金融理財組,國、數B、社
財務金融學系產業實習組,國、數B、社
觀光與餐飲管理學系觀光旅遊組,國、英、社
觀光與餐飲管理學系餐飲技術組,國、英、社
觀光與餐飲管理學系餐飲管理組,國、英、社
醫務管理學系醫療機構管理組,國、英、數B、社
醫務管理學系長照機構管理組,國、英、數B、社
醫務管理學系健康大數據組,國、英、數B
生物科技學系生醫產業組,國、英
生物科技學系生物檢測組,國、英、自
生物科技學系生物醫學組,國、自
健康心理學系,國、英、數B
保健營養學系,國、自
護理學系A組,國、社
護理學系B組,國、自
護理學系C組,國、英
醫藥科學產業學系醫藥產業組,國、自
醫藥科學產業學系藥物科技組,國、英、自
醫藥科學產業學系醫學科學組,國、英、自
醫學社會暨健康照護學士學位學程,國、英、社
蘭花產業應用學士學位學程,國
職業安全與衛生學系職業安全衛生管理組,國、英、社
職業安全與衛生學系職場健康促進管理組,國、英、社
職業安全與衛生學系職業安全組,國、自
職業安全與衛生學系職業衛生組,國、英
食品安全衛生與檢驗學士學位學程食品安全管理組,國、英、社
食品安全衛生與檢驗學士學位學程環境檢驗組,國、自
食品安全衛生與檢驗學士學位學程食品檢驗組,國、英、自
消防安全學士學位學程消防實務管理組,國、社
消防安全學士學位學程火場鑑識組,國、自
消防安全學士學位學程消防防災技術組,國、英
綠能與環境資源學系綠能產業管理組,國、英、社
能與環境資源學系綠能產業實務組,國、英、社
綠能與環境資源學系綠能環境科技組,國、自
無人機應用學士學位學程,國、英、數B
大眾傳播學系A組,國、英
大眾傳播學系B組,國、英、社
大眾傳播學系C組,國、社
翻譯學系A組,國、英
翻譯學系B組,英、社
社會工作學系A組,國、英、社
社會工作學系B組,國、英、社
社會工作學系C組,國、社
社會工作學系D組,國、英、社
應用日語學系語文翻譯組,國
應用日語學系觀光經貿組,國、社
應用哲學系公共參與組,國、社
應用哲學系社會關懷組,社
東南亞文化與產業學士學位學程產業與商貿組,社
東南亞文化與產業學士學位學程觀光與旅遊組,國
東南亞文化與產業學士學位學程關懷與服務組,國、社
資訊暨設計學院學士班(不分系),國、數B
資訊暨設計學院學士班數位媒體設計組,國、數B、社
資訊暨設計學院學士班互動設計組,國、數B
資訊暨設計學院學士班資訊管理組,國、英、數B
資訊暨設計學院學士班資訊工程組,國、英、數B
資訊暨設計學院學士班(APCS組),國、英、數B、APCS
美術學系藝術創作組,國
美術學系應用藝術組,國、社
書畫藝術學系甲組,國、素描
書畫藝術學系乙組,國、社
台灣文化創意產業學士學位學程,國
運動競技學系,國、社
