科系,採計科目(含一階篩選方式、倍率、超篩)
應用數學系,英、數A
物理學系物理組,英、數A、自
物理學系光電與材料科學組,英、數A、自
化學系化學組,英、數A、自
化學系材料化學組,英、數A、自
心理學系,國、英、數A、自
生物科技學系,英、自
化學工程學系旅能製程組,英、數A、自
化學工程學系生化工程組,英、數A、自
化學工程學系材料工程組,英、數A、自
土木工程學系,*國、數A
機械工程學系,*國、*英、數A、自
生物醫學工程學系,英、數A、自
環境工程學系,*國、英、*自
電機資訊學院學士班,英、數A
工業與系統工程學系工程組,國、*數A
工業與系統工程學系管理組,國、*英
電子工程學系,英、數A、自
資訊工程學系,*國、英、*數A、*自
電機工程學系,英、數A
中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,英、數A
電機資訊學院智慧運算與大數據學士班,*國、英、*數A、*自
企業管理學系服務業管理組,國、英
企業管理學系高科技業管理組,國、數B
企業管理學系工商管理組經營管理班,國、英
企業管理學系工商管理組永續發展班,國、社
國際經營與貿易學系,國、英、社
會計學系,國、英、數B、社
資訊管理學系,國、數B、數A
財務金融學系,國、英、數B、社
中原大學與美國天普大學商學管理雙學士學位學程,國、英
財經法律學系,國、英、社
建築學系,*國、英、*數A
室內設計學系,國、英、*社
商業設計學系商業設計組,*國、英
商業設計學系商業設計組乙類,*國、*英、自
地景建築學系,國、英、數A、數B
特殊教育學系,國、英、數B
應用外國語文學系,國、英
應用華語文學系,國、英
商業設計學系產品設計組甲類,彩繪技法、創意表現
